category,keyword,response
symptoms,diabetes,Diabetes is a condition where blood sugar levels are too high. Symptoms include increased thirst and frequent urination. Consult a doctor for proper diagnosis and treatment.
symptoms,asthma,Asthma causes breathing difficulties and wheezing. Use prescribed inhalers as directed. Seek immediate help if breathing becomes severely difficult.
symptoms,allergy,Allergies can cause sneezing and itching. Identify and avoid triggers. Antihistamines may help. Consult a doctor for severe reactions.
symptoms,nausea,Nausea can be caused by various factors. Try small sips of water and bland foods. If persistent or severe seek medical attention.
symptoms,dizziness,Dizziness can result from dehydration or low blood sugar. Sit or lie down immediately. If it persists or is accompanied by other symptoms see a doctor.
symptoms,fatigue,Chronic fatigue may indicate underlying health issues. Ensure adequate sleep and nutrition. Consult a healthcare provider if it persists.
symptoms,rash,Skin rashes have many causes including allergies and infections. Keep the area clean and avoid irritants. See a doctor if it spreads or worsens.
general_health,vitamin,Vitamins are essential for health. Get them from a balanced diet rich in fruits and vegetables. Supplements should be taken as recommended by healthcare providers.
general_health,immunity,Boost immunity through healthy diet regular exercise adequate sleep and stress management. Vaccines also play a crucial role.
general_health,weight,Maintain healthy weight through balanced diet and regular exercise. Consult healthcare providers for personalized weight management plans.
general_health,mental health,Mental health is as important as physical health. Practice self-care seek support when needed and consult mental health professionals if struggling.
general_health,pregnancy,During pregnancy regular prenatal care is essential. Eat nutritious foods avoid harmful substances and follow medical advice.
medications,insulin,Insulin is used to manage diabetes. Must be stored properly and administered as prescribed. Never adjust doses without medical supervision.
medications,antacid,Antacids neutralize stomach acid for heartburn relief. Take as directed on the package. Persistent symptoms require medical evaluation.
medications,cough syrup,Cough syrup helps suppress or loosen coughs. Follow dosage instructions carefully. Different types exist for different cough types.
medications,antihistamine,Antihistamines treat allergy symptoms. May cause drowsiness. Avoid driving or operating machinery if affected.
medications,vitamins,Vitamin supplements fill nutritional gaps. Follow recommended doses. More is not always better and can be harmful.
